,0
2020-06-22,17
2020-06-16,16
2020-06-23,13
2020-06-25,13
2020-06-11,13
2020-06-26,11
2020-06-05,11
2020-06-08,10
2020-06-19,10
2020-07-14,9
2021-11-26,9
2020-08-03,9
2020-06-15,9
2020-07-28,9
2020-07-26,7
2020-06-10,7
2020-06-29,7
2020-08-26,7
2020-06-18,7
2020-06-21,7
2020-08-04,7
2020-07-07,7
2020-07-30,7
2020-06-01,7
2021-02-01,7
2020-07-27,7
2020-07-16,7
2020-07-20,7
2021-01-07,7
2020-06-30,6
2020-07-01,6
2020-07-08,6
2020-06-17,6
2020-07-23,6
2020-08-21,6
2020-03-20,6
2020-08-19,6
2021-05-25,6
2020-07-25,6
2020-06-03,6
2020-06-12,5
2020-09-30,5
2020-03-18,5
2020-09-23,5
2021-03-22,5
2021-03-05,5
2020-06-02,5
2021-01-06,5
2020-06-14,5
2020-11-09,5
2020-06-09,5
2021-05-03,5
2020-07-22,5
2020-09-24,5
2020-07-24,5
2020-07-13,5
2020-07-21,5
2021-11-04,5
2020-07-06,5
2020-11-26,4
2021-10-27,4
2020-10-28,4
2020-11-03,4
2020-08-12,4
2020-09-11,4
2020-08-09,4
2020-08-07,4
2020-09-13,4
2020-10-14,4
2020-12-08,4
2020-12-21,4
2021-03-18,4
2020-12-30,4
2021-01-29,4
2021-02-09,4
2021-04-27,4
2021-02-23,4
2020-08-25,4
2020-08-11,4
2021-03-06,4
2020-03-31,4
2020-09-03,4
2020-09-28,4
2020-03-08,4
2020-10-01,4
2020-06-20,4
2020-09-08,4
2020-08-27,4
2020-08-28,4
2020-06-24,4
2020-09-04,4
2021-02-19,3
2020-09-17,3
2020-09-22,3
2020-09-21,3
2020-12-31,3
2020-07-09,3
2020-03-22,3
2021-01-14,3
2021-01-15,3
2021-01-19,3
2020-07-03,3
2021-02-10,3
2020-09-19,3
2020-07-15,3
2021-02-05,3
2020-12-22,3
2020-03-17,3
2021-02-12,3
2020-03-13,3
2020-12-18,3
2020-03-01,3
2020-10-16,3
2020-03-27,3
2020-08-20,3
2020-10-09,3
2020-08-17,3
2020-10-30,3
2020-10-31,3
2020-10-08,3
2020-11-11,3
2020-12-15,3
2020-11-12,3
2020-09-01,3
2020-06-04,3
2020-08-05,3
2020-03-02,3
2020-09-02,3
2020-07-29,3
2020-03-15,3
2021-03-08,3
2020-10-04,3
2021-09-23,3
2021-09-28,3
2021-03-01,3
2021-05-24,3
2021-10-25,3
2021-11-24,3
2021-11-29,3
2021-12-06,3
2021-05-06,3
2021-12-10,3
2017-01-21,3
2021-05-01,3
2021-04-30,3
2021-04-29,3
2021-03-04,3
2017-03-27,3
2021-09-09,3
2021-03-29,3
2021-03-17,3
2021-09-24,3
2021-10-30,2
2020-06-28,2
2020-10-19,2
2017-03-02,2
2017-09-26,2
2018-04-10,2
2020-09-15,2
2020-06-13,2
2021-06-25,2
2020-10-27,2
2021-06-23,2
2020-09-07,2
2018-03-05,2
2020-03-11,2
2020-08-18,2
2018-07-08,2
2020-08-16,2
2020-08-13,2
2020-03-10,2
2021-11-02,2
2020-06-07,2
2020-08-14,2
2020-06-06,2
2021-06-18,2
2020-10-12,2
2020-10-13,2
2020-03-23,2
2017-10-13,2
2020-09-25,2
2020-03-21,2
2021-09-01,2
2021-09-27,2
2017-03-17,2
2020-09-27,2
2020-03-28,2
2021-08-12,2
2020-04-29,2
2020-09-29,2
2020-03-03,2
2021-10-04,2
2020-08-31,2
2021-10-06,2
2020-10-05,2
2020-11-17,2
2020-10-06,2
2020-08-29,2
2020-09-18,2
2021-07-30,2
2020-03-09,2
2021-10-14,2
2020-08-10,2
2020-11-20,2
2021-02-18,2
2020-03-16,2
2021-01-04,2
2021-02-17,2
2021-02-15,2
2021-02-13,2
2017-01-17,2
2017-01-18,2
2021-12-01,2
2021-09-21,2
2021-03-31,2
2021-12-08,2
2021-02-02,2
2020-03-19,2
2021-01-18,2
2021-01-20,2
2020-07-18,2
2021-01-22,2
2021-01-23,2
2021-01-27,2
2021-01-28,2
2021-05-04,2
2020-07-02,2
2021-01-01,2
2021-01-31,2
2021-02-22,2
2020-04-14,2
2020-08-08,2
2020-11-22,2
2021-03-11,2
2020-08-06,2
2021-11-09,2
2017-01-05,2
2020-04-17,2
2020-12-07,2
2021-05-12,2
2020-12-09,2
2020-12-12,2
2021-11-16,2
2021-02-26,2
2020-07-10,2
2021-11-21,2
2021-11-23,2
2020-03-29,2
2020-12-23,2
2017-01-10,1
2017-09-20,1
2020-07-04,1
2017-03-16,1
2017-01-14,1
2017-04-21,1
2017-02-08,1
2017-09-03,1
2017-06-13,1
2017-01-02,1
2017-03-30,1
2017-03-29,1
2017-05-04,1
2017-05-07,1
2017-03-20,1
2017-03-13,1
2017-02-15,1
2017-01-25,1
2020-06-27,1
2017-06-17,1
2017-06-19,1
2017-02-14,1
2017-08-20,1
2017-08-21,1
2017-08-30,1
2019-08-08,1
2017-12-12,1
2017-09-24,1
2018-11-28,1
2019-03-25,1
2020-02-14,1
2019-02-22,1
2020-02-16,1
2019-02-19,1
2018-12-17,1
2020-02-25,1
2020-01-29,1
2020-04-08,1
2018-11-09,1
2020-05-29,1
2018-10-29,1
2018-10-07,1
2018-10-02,1
2020-02-13,1
2020-03-06,1
2020-03-25,1
2019-10-26,1
2019-07-31,1
2019-09-16,1
2019-09-20,1
2019-10-23,1
2019-07-29,1
2019-05-30,1
2019-10-28,1
2020-01-09,1
2019-04-29,1
2019-11-02,1
2019-11-04,1
2019-12-02,1
2019-04-15,1
2020-01-07,1
2018-09-07,1
2018-08-11,1
2018-08-08,1
2017-07-22,1
2019-09-03,1
2017-12-07,1
2017-11-16,1
2020-01-20,1
2017-11-13,1
2017-11-01,1
2017-10-20,1
2018-08-06,1
2017-07-18,1
2017-10-17,1
2017-10-11,1
2017-10-01,1
2017-09-28,1
2017-09-27,1
2017-12-27,1
2018-01-06,1
2018-01-12,1
2018-02-03,1
2020-01-17,1
2018-03-21,1
2018-03-10,1
2020-01-15,1
2020-01-14,1
2018-04-11,1
2018-04-30,1
2018-06-14,1
2018-01-02,1
2018-07-16,1
2018-07-19,1
2018-07-26,1
2018-08-01,1
2020-01-24,1
2021-12-27,1
2020-03-07,1
2021-05-23,1
2021-07-13,1
2021-07-16,1
2021-07-17,1
2021-07-19,1
2021-07-20,1
2021-07-21,1
2021-07-22,1
2021-07-31,1
2021-08-01,1
2021-08-02,1
2021-08-03,1
2021-08-04,1
2021-08-17,1
2021-03-19,1
2021-08-20,1
2021-07-01,1
2021-06-29,1
2021-06-28,1
2021-06-08,1
2021-05-27,1
2021-05-28,1
2021-05-31,1
2021-06-01,1
2021-06-02,1
2021-06-07,1
2021-06-09,1
2021-06-21,1
2021-06-10,1
2021-06-11,1
2021-06-13,1
2021-06-16,1
2021-06-17,1
2021-06-19,1
2021-08-23,1
2021-08-26,1
2021-01-26,1
2021-12-07,1
2021-11-10,1
2021-11-12,1
2021-11-17,1
2021-11-18,1
2021-11-27,1
2021-11-30,1
2021-12-09,1
2021-11-03,1
2021-03-14,1
2021-12-14,1
2021-12-17,1
2021-12-16,1
2021-12-19,1
2021-12-20,1
2021-11-08,1
2021-10-31,1
2021-09-02,1
2021-10-05,1
2021-09-07,1
2021-09-15,1
2021-09-17,1
2021-09-18,1
2021-09-30,1
2021-10-02,1
2021-10-10,1
2021-10-29,1
2021-10-15,1
2021-10-20,1
2021-10-21,1
2021-10-22,1
2021-10-23,1
2021-10-24,1
2021-05-26,1
2021-05-21,1
2020-07-12,1
2021-05-20,1
2020-03-12,1
2020-10-15,1
2020-10-17,1
2020-10-20,1
2020-10-21,1
2020-10-22,1
2020-10-23,1
2020-10-25,1
2020-10-26,1
2020-10-29,1
2020-11-01,1
2020-11-04,1
2020-11-05,1
2020-11-08,1
2020-11-13,1
2020-10-11,1
2020-10-07,1
2021-12-23,1
2020-03-24,1
2020-07-17,1
2020-03-30,1
2020-07-31,1
2020-08-01,1
2020-08-23,1
2020-08-24,1
2020-09-09,1
2020-10-02,1
2020-09-14,1
2020-03-14,1
2020-09-16,1
2020-09-20,1
2020-09-26,1
2020-03-26,1
2020-11-15,1
2020-11-16,1
2020-11-19,1
2021-03-23,1
2021-02-11,1
2021-02-24,1
2021-03-02,1
2021-03-03,1
2021-03-09,1
2021-03-10,1
2021-03-26,1
2021-01-30,1
2021-03-30,1
2021-05-02,1
2021-05-05,1
2021-05-09,1
2021-05-11,1
2021-05-19,1
2021-02-03,1
2021-01-24,1
2020-11-23,1
2020-12-17,1
2020-11-25,1
2020-11-27,1
2020-11-29,1
2020-12-01,1
2020-12-11,1
2020-12-16,1
2020-12-29,1
2021-01-21,1
2021-01-02,1
2021-01-08,1
2021-01-10,1
2021-01-11,1
2021-01-12,1
2021-01-13,1
2017-01-04,1
